workstream,method,param,rung,eval,prr,n_seeds,mode,source_csv
F5-linear,anchored-wMSP,0.0,DiffTask-long,samsum,0.0829,3,anchor,anchor_msp_min_samsum__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.0,DiffTask-long,xsum,-0.0734,3,anchor,anchor_msp_min_xsum__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.0,ID,asqa,0.4767,3,anchor,anchor_msp_min_asqa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.0,ID,cnn_dailymail,0.5027,3,anchor,anchor_msp_min_cnn_dailymail__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.0,ID,expertqa,0.4181,3,anchor,anchor_msp_min_expertqa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.0,ID,factscore,0.5609,3,anchor,anchor_msp_min_factscore__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.0,ID,med_quad,0.3777,3,anchor,anchor_msp_min_med_quad__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.0,ID,pubmed_qa,0.5366,3,anchor,anchor_msp_min_pubmed_qa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.0,ID,samsum,0.4156,3,anchor,anchor_msp_min_samsum__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.0,ID,xsum,0.3096,3,anchor,anchor_msp_min_xsum__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.0,LOO-long,asqa,0.2777,3,anchor,anchor_msp_min_asqa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.0,LOO-long,cnn_dailymail,0.1313,3,anchor,anchor_msp_min_cnn_dailymail__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.0,LOO-long,expertqa,0.0136,3,anchor,anchor_msp_min_expertqa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.0,LOO-long,factscore,0.0806,3,anchor,anchor_msp_min_factscore__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.0,LOO-long,med_quad,0.1530,3,anchor,anchor_msp_min_med_quad__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.0,LOO-long,pubmed_qa,0.2589,3,anchor,anchor_msp_min_pubmed_qa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.0,LOO-long,samsum,0.2238,3,anchor,anchor_msp_min_samsum__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.0,LOO-long,xsum,0.1230,3,anchor,anchor_msp_min_xsum__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.0,SameTask-long,asqa,0.2064,3,anchor,anchor_msp_min_asqa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.0,SameTask-long,cnn_dailymail,0.1263,3,anchor,anchor_msp_min_cnn_dailymail__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.0,SameTask-long,expertqa,0.1378,3,anchor,anchor_msp_min_expertqa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.0,SameTask-long,factscore,0.1518,3,anchor,anchor_msp_min_factscore__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.0,SameTask-long,med_quad,0.1179,3,anchor,anchor_msp_min_med_quad__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.0,SameTask-long,pubmed_qa,0.0645,3,anchor,anchor_msp_min_pubmed_qa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.0,SameTask-long,samsum,0.2218,3,anchor,anchor_msp_min_samsum__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.0,SameTask-long,xsum,0.1410,3,anchor,anchor_msp_min_xsum__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,1ds-Diff-long,asqa,0.1511,3,anchor,anchor_msp_min_asqa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,1ds-Diff-long,asqa,0.2054,3,random,anchor_msp_min_asqa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,1ds-Diff-long,cnn_dailymail,0.1150,3,random,anchor_msp_min_cnn_dailymail__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,1ds-Diff-long,cnn_dailymail,0.1167,3,anchor,anchor_msp_min_cnn_dailymail__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,1ds-Diff-long,expertqa,0.0412,3,anchor,anchor_msp_min_expertqa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,1ds-Diff-long,expertqa,0.0473,3,random,anchor_msp_min_expertqa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,1ds-Diff-long,factscore,0.1765,3,anchor,anchor_msp_min_factscore__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,1ds-Diff-long,factscore,0.1770,3,random,anchor_msp_min_factscore__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,1ds-Diff-long,med_quad,0.1149,3,anchor,anchor_msp_min_med_quad__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,1ds-Diff-long,med_quad,0.1475,3,random,anchor_msp_min_med_quad__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,1ds-Diff-long,pubmed_qa,0.2097,3,anchor,anchor_msp_min_pubmed_qa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,1ds-Diff-long,pubmed_qa,0.2271,3,random,anchor_msp_min_pubmed_qa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,1ds-Diff-long,samsum,0.1518,3,anchor,anchor_msp_min_samsum__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,1ds-Diff-long,samsum,0.1911,3,random,anchor_msp_min_samsum__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,1ds-Diff-long,xsum,0.1439,3,anchor,anchor_msp_min_xsum__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,1ds-Diff-long,xsum,0.1544,3,random,anchor_msp_min_xsum__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,DiffTask-long,asqa,0.2123,3,random,anchor_msp_min_asqa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,DiffTask-long,asqa,0.2836,3,anchor,anchor_msp_min_asqa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,DiffTask-long,cnn_dailymail,0.0844,3,anchor,anchor_msp_min_cnn_dailymail__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,DiffTask-long,cnn_dailymail,0.1335,3,random,anchor_msp_min_cnn_dailymail__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,DiffTask-long,expertqa,0.0593,3,random,anchor_msp_min_expertqa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,DiffTask-long,expertqa,0.1122,3,anchor,anchor_msp_min_expertqa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,DiffTask-long,factscore,0.3105,3,anchor,anchor_msp_min_factscore__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,DiffTask-long,factscore,0.3160,3,random,anchor_msp_min_factscore__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,DiffTask-long,med_quad,0.1351,3,anchor,anchor_msp_min_med_quad__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,DiffTask-long,med_quad,0.1413,3,random,anchor_msp_min_med_quad__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,DiffTask-long,pubmed_qa,0.1553,3,random,anchor_msp_min_pubmed_qa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,DiffTask-long,pubmed_qa,0.1682,3,anchor,anchor_msp_min_pubmed_qa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,DiffTask-long,samsum,0.0593,3,anchor,anchor_msp_min_samsum__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,DiffTask-long,samsum,0.1008,3,random,anchor_msp_min_samsum__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,DiffTask-long,xsum,-0.0946,3,anchor,anchor_msp_min_xsum__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,DiffTask-long,xsum,-0.0960,3,random,anchor_msp_min_xsum__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,ID,asqa,0.4647,3,anchor,anchor_msp_min_asqa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,ID,asqa,0.4845,3,random,anchor_msp_min_asqa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,ID,cnn_dailymail,0.4810,3,anchor,anchor_msp_min_cnn_dailymail__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,ID,cnn_dailymail,0.5021,3,random,anchor_msp_min_cnn_dailymail__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,ID,expertqa,0.4739,3,anchor,anchor_msp_min_expertqa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,ID,expertqa,0.4992,3,random,anchor_msp_min_expertqa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,ID,factscore,0.5423,3,random,anchor_msp_min_factscore__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,ID,factscore,0.5517,3,anchor,anchor_msp_min_factscore__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,ID,med_quad,0.3638,3,random,anchor_msp_min_med_quad__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,ID,med_quad,0.3648,3,anchor,anchor_msp_min_med_quad__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,ID,pubmed_qa,0.5657,3,anchor,anchor_msp_min_pubmed_qa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,ID,pubmed_qa,0.6094,3,random,anchor_msp_min_pubmed_qa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,ID,samsum,0.4320,3,random,anchor_msp_min_samsum__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,ID,samsum,0.4454,3,anchor,anchor_msp_min_samsum__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,ID,xsum,0.3117,3,random,anchor_msp_min_xsum__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,ID,xsum,0.3207,3,anchor,anchor_msp_min_xsum__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,LOO-long,asqa,0.2177,3,random,anchor_msp_min_asqa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,LOO-long,asqa,0.2490,3,anchor,anchor_msp_min_asqa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,LOO-long,cnn_dailymail,0.1276,3,anchor,anchor_msp_min_cnn_dailymail__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,LOO-long,cnn_dailymail,0.1486,3,random,anchor_msp_min_cnn_dailymail__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,LOO-long,expertqa,0.0560,3,random,anchor_msp_min_expertqa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,LOO-long,expertqa,0.0610,3,anchor,anchor_msp_min_expertqa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,LOO-long,factscore,0.2207,3,anchor,anchor_msp_min_factscore__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,LOO-long,factscore,0.2367,3,random,anchor_msp_min_factscore__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,LOO-long,med_quad,0.1419,3,anchor,anchor_msp_min_med_quad__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,LOO-long,med_quad,0.1523,3,random,anchor_msp_min_med_quad__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,LOO-long,pubmed_qa,0.1746,3,anchor,anchor_msp_min_pubmed_qa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,LOO-long,pubmed_qa,0.1773,3,random,anchor_msp_min_pubmed_qa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,LOO-long,samsum,0.1778,3,random,anchor_msp_min_samsum__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,LOO-long,samsum,0.2241,3,anchor,anchor_msp_min_samsum__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,LOO-long,xsum,0.1225,3,random,anchor_msp_min_xsum__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,LOO-long,xsum,0.1664,3,anchor,anchor_msp_min_xsum__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,SameTask-long,asqa,0.2430,3,anchor,anchor_msp_min_asqa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,SameTask-long,asqa,0.2741,3,random,anchor_msp_min_asqa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,SameTask-long,cnn_dailymail,0.1163,3,random,anchor_msp_min_cnn_dailymail__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,SameTask-long,cnn_dailymail,0.1271,3,anchor,anchor_msp_min_cnn_dailymail__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,SameTask-long,expertqa,0.1339,3,random,anchor_msp_min_expertqa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,SameTask-long,expertqa,0.1389,3,anchor,anchor_msp_min_expertqa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,SameTask-long,factscore,0.1361,3,anchor,anchor_msp_min_factscore__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,SameTask-long,factscore,0.2115,3,random,anchor_msp_min_factscore__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,SameTask-long,med_quad,0.0658,3,anchor,anchor_msp_min_med_quad__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,SameTask-long,med_quad,0.0750,3,random,anchor_msp_min_med_quad__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,SameTask-long,pubmed_qa,0.0496,3,anchor,anchor_msp_min_pubmed_qa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,SameTask-long,pubmed_qa,0.0504,3,random,anchor_msp_min_pubmed_qa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,SameTask-long,samsum,0.1738,3,random,anchor_msp_min_samsum__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,SameTask-long,samsum,0.2095,3,anchor,anchor_msp_min_samsum__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,SameTask-long,xsum,0.1015,3,random,anchor_msp_min_xsum__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,0.5,SameTask-long,xsum,0.1261,3,anchor,anchor_msp_min_xsum__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,1.0,1ds-Diff-long,asqa,0.2228,3,anchor,anchor_msp_min_asqa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,1.0,1ds-Diff-long,asqa,0.2332,3,random,anchor_msp_min_asqa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,1.0,1ds-Diff-long,cnn_dailymail,0.1122,3,random,anchor_msp_min_cnn_dailymail__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,1.0,1ds-Diff-long,cnn_dailymail,0.1302,3,anchor,anchor_msp_min_cnn_dailymail__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,1.0,1ds-Diff-long,expertqa,0.0275,3,random,anchor_msp_min_expertqa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,1.0,1ds-Diff-long,expertqa,0.0513,3,anchor,anchor_msp_min_expertqa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,1.0,1ds-Diff-long,factscore,0.2157,3,random,anchor_msp_min_factscore__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,1.0,1ds-Diff-long,factscore,0.2182,3,anchor,anchor_msp_min_factscore__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,1.0,1ds-Diff-long,med_quad,0.1130,3,random,anchor_msp_min_med_quad__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,1.0,1ds-Diff-long,med_quad,0.1369,3,anchor,anchor_msp_min_med_quad__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,1.0,1ds-Diff-long,pubmed_qa,0.2025,3,random,anchor_msp_min_pubmed_qa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,1.0,1ds-Diff-long,pubmed_qa,0.2191,3,anchor,anchor_msp_min_pubmed_qa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,1.0,1ds-Diff-long,samsum,0.1515,3,random,anchor_msp_min_samsum__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,1.0,1ds-Diff-long,samsum,0.1775,3,anchor,anchor_msp_min_samsum__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,1.0,1ds-Diff-long,xsum,0.1355,3,anchor,anchor_msp_min_xsum__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,1.0,1ds-Diff-long,xsum,0.1602,3,random,anchor_msp_min_xsum__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,1.0,DiffTask-long,asqa,0.2676,3,anchor,anchor_msp_min_asqa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,1.0,DiffTask-long,asqa,0.2744,3,random,anchor_msp_min_asqa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,1.0,DiffTask-long,cnn_dailymail,0.1246,3,random,anchor_msp_min_cnn_dailymail__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,1.0,DiffTask-long,cnn_dailymail,0.1431,3,anchor,anchor_msp_min_cnn_dailymail__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,1.0,DiffTask-long,expertqa,0.0310,3,random,anchor_msp_min_expertqa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,1.0,DiffTask-long,expertqa,0.0391,3,anchor,anchor_msp_min_expertqa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,1.0,DiffTask-long,factscore,0.2432,3,random,anchor_msp_min_factscore__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,1.0,DiffTask-long,factscore,0.2462,3,anchor,anchor_msp_min_factscore__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,1.0,DiffTask-long,med_quad,0.1060,3,random,anchor_msp_min_med_quad__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,1.0,DiffTask-long,med_quad,0.1351,3,anchor,anchor_msp_min_med_quad__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,1.0,DiffTask-long,pubmed_qa,0.1119,3,anchor,anchor_msp_min_pubmed_qa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,1.0,DiffTask-long,pubmed_qa,0.1792,3,random,anchor_msp_min_pubmed_qa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,1.0,DiffTask-long,samsum,0.0642,3,anchor,anchor_msp_min_samsum__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,1.0,DiffTask-long,samsum,0.1000,3,random,anchor_msp_min_samsum__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,1.0,DiffTask-long,xsum,-0.0827,3,anchor,anchor_msp_min_xsum__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,1.0,DiffTask-long,xsum,-0.0850,3,random,anchor_msp_min_xsum__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,1.0,ID,asqa,0.4671,3,random,anchor_msp_min_asqa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,1.0,ID,asqa,0.4706,3,anchor,anchor_msp_min_asqa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,1.0,ID,cnn_dailymail,0.4627,3,anchor,anchor_msp_min_cnn_dailymail__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,1.0,ID,cnn_dailymail,0.4744,3,random,anchor_msp_min_cnn_dailymail__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,1.0,ID,expertqa,0.4245,3,anchor,anchor_msp_min_expertqa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,1.0,ID,expertqa,0.4623,3,random,anchor_msp_min_expertqa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,1.0,ID,factscore,0.5464,3,anchor,anchor_msp_min_factscore__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,1.0,ID,factscore,0.5505,3,random,anchor_msp_min_factscore__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,1.0,ID,med_quad,0.3589,3,random,anchor_msp_min_med_quad__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,1.0,ID,med_quad,0.3592,3,anchor,anchor_msp_min_med_quad__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,1.0,ID,pubmed_qa,0.5237,3,random,anchor_msp_min_pubmed_qa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,1.0,ID,pubmed_qa,0.5520,3,anchor,anchor_msp_min_pubmed_qa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,1.0,ID,samsum,0.4276,3,anchor,anchor_msp_min_samsum__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,1.0,ID,samsum,0.4437,3,random,anchor_msp_min_samsum__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,1.0,ID,xsum,0.3268,3,anchor,anchor_msp_min_xsum__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,1.0,ID,xsum,0.3403,3,random,anchor_msp_min_xsum__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,1.0,LOO-long,asqa,0.2281,3,random,anchor_msp_min_asqa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,1.0,LOO-long,asqa,0.2426,3,anchor,anchor_msp_min_asqa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,1.0,LOO-long,cnn_dailymail,0.1243,3,random,anchor_msp_min_cnn_dailymail__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,1.0,LOO-long,cnn_dailymail,0.1581,3,anchor,anchor_msp_min_cnn_dailymail__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,1.0,LOO-long,expertqa,0.0734,3,random,anchor_msp_min_expertqa__meta-llama_Meta-Llama-3.1-8B.csv
F5-linear,anchored-wMSP,1.0,LOO-long,expertqa,0.0744,3,anchor,anchor_msp_min_expertqa__meta-llama_Meta-Llama-3.1-8B.csv
