model,eval,rung,train,method,family,prr_mean,prr_std,n_seeds,degenerate_seeds,source,method_cells,complete_grid
Qwen/Qwen2.5-14B,pubmed_qa,SameTask-long,,wmsp_shrink2,this project,0.2072,0.025,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,pubmed_qa,SameTask-long,,wmsp_shrink10,this project,0.1289,0.011,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,pubmed_qa,DiffTask-long,,floor_sum,reference baseline,-0.3335,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,pubmed_qa,DiffTask-long,,floor_ppl,reference baseline,0.0219,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,pubmed_qa,DiffTask-long,,floor_min,reference baseline,-0.204,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,pubmed_qa,DiffTask-long,,fair_floor,reference baseline,-0.204,0.0,0,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,pubmed_qa,DiffTask-long,,saplma,reference baseline,0.1728,0.191,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,pubmed_qa,DiffTask-long,,uniform,this project,0.1755,0.2906,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,pubmed_qa,DiffTask-long,,attention,this project,0.3487,0.0135,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,pubmed_qa,DiffTask-long,,wmsp_norm,this project,0.2066,0.0324,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,pubmed_qa,DiffTask-long,,wmsp_shrink2,this project,0.2138,0.0699,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,pubmed_qa,DiffTask-long,,wmsp_shrink10,this project,0.1137,0.0524,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,pubmed_qa,LOO-long,,floor_sum,reference baseline,-0.3335,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,pubmed_qa,LOO-long,,floor_ppl,reference baseline,0.0219,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,pubmed_qa,LOO-long,,floor_min,reference baseline,-0.204,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,pubmed_qa,LOO-long,,fair_floor,reference baseline,-0.204,0.0,0,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,pubmed_qa,LOO-long,,saplma,reference baseline,0.3964,0.03,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,pubmed_qa,LOO-long,,uniform,this project,0.3425,0.0292,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,pubmed_qa,LOO-long,,attention,this project,0.3508,0.0311,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,pubmed_qa,LOO-long,,wmsp_norm,this project,0.2816,0.0818,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,pubmed_qa,LOO-long,,wmsp_shrink2,this project,0.1541,0.1007,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,pubmed_qa,LOO-long,,wmsp_shrink10,this project,0.1643,0.0712,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,pubmed_qa,1ds-Diff-long,,floor_sum,reference baseline,-0.3335,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,pubmed_qa,1ds-Diff-long,,floor_ppl,reference baseline,0.0219,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,pubmed_qa,1ds-Diff-long,,floor_min,reference baseline,-0.204,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,pubmed_qa,1ds-Diff-long,,fair_floor,reference baseline,-0.204,0.0,0,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,pubmed_qa,1ds-Diff-long,,saplma,reference baseline,0.4046,0.0092,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,pubmed_qa,1ds-Diff-long,,uniform,this project,0.2678,0.0081,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,pubmed_qa,1ds-Diff-long,,attention,this project,0.2494,0.007,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,pubmed_qa,1ds-Diff-long,,wmsp_norm,this project,0.2839,0.042,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,pubmed_qa,1ds-Diff-long,,wmsp_shrink2,this project,0.2839,0.0172,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,pubmed_qa,1ds-Diff-long,,wmsp_shrink10,this project,0.1679,0.0069,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,med_quad,ID,,floor_sum,reference baseline,-0.1174,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,med_quad,ID,,floor_ppl,reference baseline,0.2208,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,med_quad,ID,,floor_min,reference baseline,0.1201,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,med_quad,ID,,fair_floor,reference baseline,0.1201,0.0,0,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,med_quad,ID,,saplma,reference baseline,0.4341,0.0467,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,med_quad,ID,,uniform,this project,0.468,0.004,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,med_quad,ID,,attention,this project,0.4384,0.0041,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,med_quad,ID,,wmsp_norm,this project,0.3406,0.0172,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,med_quad,ID,,wmsp_shrink2,this project,0.4368,0.0198,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,med_quad,ID,,wmsp_shrink10,this project,0.4206,0.0226,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,med_quad,SameTask-long,,floor_sum,reference baseline,-0.1174,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,med_quad,SameTask-long,,floor_ppl,reference baseline,0.2208,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,med_quad,SameTask-long,,floor_min,reference baseline,0.1201,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,med_quad,SameTask-long,,fair_floor,reference baseline,0.1201,0.0,0,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,med_quad,SameTask-long,,saplma,reference baseline,0.2906,0.0212,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,med_quad,SameTask-long,,uniform,this project,0.2579,0.0311,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,med_quad,SameTask-long,,attention,this project,0.2289,0.0458,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,med_quad,SameTask-long,,wmsp_norm,this project,0.1688,0.0221,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,med_quad,SameTask-long,,wmsp_shrink2,this project,0.2398,0.0338,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,med_quad,SameTask-long,,wmsp_shrink10,this project,0.2632,0.0173,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,med_quad,DiffTask-long,,floor_sum,reference baseline,-0.1174,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,med_quad,DiffTask-long,,floor_ppl,reference baseline,0.2208,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,med_quad,DiffTask-long,,floor_min,reference baseline,0.1201,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,med_quad,DiffTask-long,,fair_floor,reference baseline,0.1201,0.0,0,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,med_quad,DiffTask-long,,saplma,reference baseline,0.2791,0.0184,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,med_quad,DiffTask-long,,uniform,this project,0.2605,0.0294,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,med_quad,DiffTask-long,,attention,this project,0.2245,0.0147,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,med_quad,DiffTask-long,,wmsp_norm,this project,0.1844,0.025,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,med_quad,DiffTask-long,,wmsp_shrink2,this project,0.2254,0.0112,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,med_quad,DiffTask-long,,wmsp_shrink10,this project,0.2444,0.0385,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,med_quad,LOO-long,,floor_sum,reference baseline,-0.1174,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,med_quad,LOO-long,,floor_ppl,reference baseline,0.2208,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,med_quad,LOO-long,,floor_min,reference baseline,0.1201,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,med_quad,LOO-long,,fair_floor,reference baseline,0.1201,0.0,0,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,med_quad,LOO-long,,saplma,reference baseline,0.2943,0.0338,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,med_quad,LOO-long,,uniform,this project,0.2876,0.0257,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,med_quad,LOO-long,,attention,this project,0.2493,0.0204,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,med_quad,LOO-long,,wmsp_norm,this project,0.2415,0.0151,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,med_quad,LOO-long,,wmsp_shrink2,this project,0.2539,0.0323,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,med_quad,LOO-long,,wmsp_shrink10,this project,0.3076,0.0081,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,med_quad,1ds-Diff-long,,floor_sum,reference baseline,-0.1174,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,med_quad,1ds-Diff-long,,floor_ppl,reference baseline,0.2208,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,med_quad,1ds-Diff-long,,floor_min,reference baseline,0.1201,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,med_quad,1ds-Diff-long,,fair_floor,reference baseline,0.1201,0.0,0,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,med_quad,1ds-Diff-long,,saplma,reference baseline,0.215,0.0064,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,med_quad,1ds-Diff-long,,uniform,this project,0.1745,0.0047,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,med_quad,1ds-Diff-long,,attention,this project,0.1414,0.003,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,med_quad,1ds-Diff-long,,wmsp_norm,this project,0.145,0.0268,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,med_quad,1ds-Diff-long,,wmsp_shrink2,this project,0.1871,0.0054,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,med_quad,1ds-Diff-long,,wmsp_shrink10,this project,0.2205,0.0107,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,asqa,ID,,floor_sum,reference baseline,0.1038,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,asqa,ID,,floor_ppl,reference baseline,0.1851,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,asqa,ID,,floor_min,reference baseline,0.1247,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,asqa,ID,,fair_floor,reference baseline,0.1247,0.0,0,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,asqa,ID,,saplma,reference baseline,0.3964,0.0314,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,asqa,ID,,uniform,this project,0.3851,0.0028,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,asqa,ID,,attention,this project,0.3526,0.0058,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,asqa,ID,,wmsp_norm,this project,0.3264,0.0403,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,asqa,ID,,wmsp_shrink2,this project,0.3751,0.0258,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,asqa,ID,,wmsp_shrink10,this project,0.3412,0.0083,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,asqa,SameTask-long,,floor_sum,reference baseline,0.1038,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,asqa,SameTask-long,,floor_ppl,reference baseline,0.1851,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,asqa,SameTask-long,,floor_min,reference baseline,0.1247,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,asqa,SameTask-long,,fair_floor,reference baseline,0.1247,0.0,0,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,asqa,SameTask-long,,saplma,reference baseline,0.254,0.0176,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,asqa,SameTask-long,,uniform,this project,0.2496,0.0273,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,asqa,SameTask-long,,attention,this project,0.2532,0.039,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,asqa,SameTask-long,,wmsp_norm,this project,0.1343,0.0429,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,asqa,SameTask-long,,wmsp_shrink2,this project,0.1901,0.0384,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,asqa,SameTask-long,,wmsp_shrink10,this project,0.2128,0.009,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,asqa,DiffTask-long,,floor_sum,reference baseline,0.1038,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,asqa,DiffTask-long,,floor_ppl,reference baseline,0.1851,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,asqa,DiffTask-long,,floor_min,reference baseline,0.1247,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,asqa,DiffTask-long,,fair_floor,reference baseline,0.1247,0.0,0,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,asqa,DiffTask-long,,saplma,reference baseline,0.1966,0.046,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,asqa,DiffTask-long,,uniform,this project,0.2383,0.0092,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,asqa,DiffTask-long,,attention,this project,0.189,0.0088,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,asqa,DiffTask-long,,wmsp_norm,this project,0.1628,0.0864,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,asqa,DiffTask-long,,wmsp_shrink2,this project,0.2032,0.0262,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,asqa,DiffTask-long,,wmsp_shrink10,this project,0.1956,0.0393,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,asqa,LOO-long,,floor_sum,reference baseline,0.1038,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,asqa,LOO-long,,floor_ppl,reference baseline,0.1851,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,asqa,LOO-long,,floor_min,reference baseline,0.1247,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,asqa,LOO-long,,fair_floor,reference baseline,0.1247,0.0,0,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,asqa,LOO-long,,saplma,reference baseline,0.1909,0.0396,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,asqa,LOO-long,,uniform,this project,0.204,0.0429,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,asqa,LOO-long,,attention,this project,0.1766,0.0413,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,asqa,LOO-long,,wmsp_norm,this project,0.1305,0.0675,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,asqa,LOO-long,,wmsp_shrink2,this project,0.2054,0.0701,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,asqa,LOO-long,,wmsp_shrink10,this project,0.1836,0.0442,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,asqa,1ds-Diff-long,,floor_sum,reference baseline,0.1038,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,asqa,1ds-Diff-long,,floor_ppl,reference baseline,0.1851,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,asqa,1ds-Diff-long,,floor_min,reference baseline,0.1247,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,asqa,1ds-Diff-long,,fair_floor,reference baseline,0.1247,0.0,0,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,asqa,1ds-Diff-long,,saplma,reference baseline,0.2059,0.0084,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,asqa,1ds-Diff-long,,uniform,this project,0.1403,0.0028,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,asqa,1ds-Diff-long,,attention,this project,0.0918,0.0088,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,asqa,1ds-Diff-long,,wmsp_norm,this project,0.1687,0.0701,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,asqa,1ds-Diff-long,,wmsp_shrink2,this project,0.1716,0.0108,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,asqa,1ds-Diff-long,,wmsp_shrink10,this project,0.1762,0.0207,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,xsum,ID,,floor_sum,reference baseline,-0.0265,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,xsum,ID,,floor_ppl,reference baseline,0.0022,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,xsum,ID,,floor_min,reference baseline,0.16,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,xsum,ID,,fair_floor,reference baseline,0.16,0.0,0,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,xsum,ID,,saplma,reference baseline,0.4629,0.008,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,xsum,ID,,uniform,this project,0.4149,0.0038,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,xsum,ID,,attention,this project,0.3907,0.005,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,xsum,ID,,wmsp_norm,this project,0.2447,0.0176,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,xsum,ID,,wmsp_shrink2,this project,0.3691,0.0103,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,xsum,ID,,wmsp_shrink10,this project,0.3317,0.0065,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,xsum,SameTask-long,,floor_sum,reference baseline,-0.0265,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,xsum,SameTask-long,,floor_ppl,reference baseline,0.0022,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,xsum,SameTask-long,,floor_min,reference baseline,0.16,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,xsum,SameTask-long,,fair_floor,reference baseline,0.16,0.0,0,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,xsum,SameTask-long,,saplma,reference baseline,0.0389,0.0082,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,xsum,SameTask-long,,uniform,this project,0.0854,0.0295,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,xsum,SameTask-long,,attention,this project,0.0838,0.0472,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,xsum,SameTask-long,,wmsp_norm,this project,-0.007,0.04,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,xsum,SameTask-long,,wmsp_shrink2,this project,0.0479,0.0221,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,xsum,SameTask-long,,wmsp_shrink10,this project,0.0354,0.0154,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,xsum,DiffTask-long,,floor_sum,reference baseline,-0.0265,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,xsum,DiffTask-long,,floor_ppl,reference baseline,0.0022,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,xsum,DiffTask-long,,floor_min,reference baseline,0.16,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,xsum,DiffTask-long,,fair_floor,reference baseline,0.16,0.0,0,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,xsum,DiffTask-long,,saplma,reference baseline,0.1773,0.0156,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,xsum,DiffTask-long,,uniform,this project,0.1458,0.0045,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,xsum,DiffTask-long,,attention,this project,0.1751,0.0031,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,xsum,DiffTask-long,,wmsp_norm,this project,0.0654,0.0342,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,xsum,DiffTask-long,,wmsp_shrink2,this project,0.1509,0.0264,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,xsum,DiffTask-long,,wmsp_shrink10,this project,0.1031,0.0233,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,xsum,LOO-long,,floor_sum,reference baseline,-0.0265,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,xsum,LOO-long,,floor_ppl,reference baseline,0.0022,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,xsum,LOO-long,,floor_min,reference baseline,0.16,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,xsum,LOO-long,,fair_floor,reference baseline,0.16,0.0,0,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,xsum,LOO-long,,saplma,reference baseline,0.1025,0.0132,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,xsum,LOO-long,,uniform,this project,0.1128,0.0083,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,xsum,LOO-long,,attention,this project,0.1349,0.0095,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,xsum,LOO-long,,wmsp_norm,this project,0.094,0.012,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,xsum,LOO-long,,wmsp_shrink2,this project,0.1541,0.0095,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,xsum,LOO-long,,wmsp_shrink10,this project,0.0713,0.0135,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,xsum,1ds-Diff-long,,floor_sum,reference baseline,-0.0265,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,xsum,1ds-Diff-long,,floor_ppl,reference baseline,0.0022,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,xsum,1ds-Diff-long,,floor_min,reference baseline,0.16,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,xsum,1ds-Diff-long,,fair_floor,reference baseline,0.16,0.0,0,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,xsum,1ds-Diff-long,,saplma,reference baseline,0.0659,0.0125,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,xsum,1ds-Diff-long,,uniform,this project,-0.0295,0.0045,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,xsum,1ds-Diff-long,,attention,this project,0.0046,0.0181,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,xsum,1ds-Diff-long,,wmsp_norm,this project,0.0321,0.0343,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,xsum,1ds-Diff-long,,wmsp_shrink2,this project,0.0866,0.0099,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,xsum,1ds-Diff-long,,wmsp_shrink10,this project,0.0844,0.0218,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,cnn_dailymail,ID,,floor_sum,reference baseline,-0.2923,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,cnn_dailymail,ID,,floor_ppl,reference baseline,-0.0442,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,cnn_dailymail,ID,,floor_min,reference baseline,-0.1077,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,cnn_dailymail,ID,,fair_floor,reference baseline,-0.1077,0.0,0,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,cnn_dailymail,ID,,saplma,reference baseline,0.3559,0.0224,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,cnn_dailymail,ID,,uniform,this project,0.3431,0.0161,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,cnn_dailymail,ID,,attention,this project,0.3479,0.0151,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,cnn_dailymail,ID,,wmsp_norm,this project,0.1975,0.0244,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,cnn_dailymail,ID,,wmsp_shrink2,this project,0.3136,0.0044,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,cnn_dailymail,ID,,wmsp_shrink10,this project,0.2677,0.0028,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,cnn_dailymail,SameTask-long,,floor_sum,reference baseline,-0.2923,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,cnn_dailymail,SameTask-long,,floor_ppl,reference baseline,-0.0442,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,cnn_dailymail,SameTask-long,,floor_min,reference baseline,-0.1077,0.0,3,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,cnn_dailymail,SameTask-long,,fair_floor,reference baseline,-0.1077,0.0,0,,corrected-span master,40,yes
Qwen/Qwen2.5-14B,cnn_dailymail,SameTask-long,,saplma,reference baseline,0.2123,0.0245,3,,corrected-span master,40,yes
